sample	population	population_proportion
SRR20748484	V11	0.99988
SRR20748483	V7	0.75923
SRR20748320	V10	0.783052
SRR20748309	V6	0.948007
SRR20748298	V4	0.99988
SRR20748411	V11	0.99988
SRR20748400	V4	0.99988
SRR20748389	V4	0.999869
SRR20748346	V10	0.888519
SRR20748335	V4	0.99988
SRR20748482	V4	0.99988
SRR20748471	V11	0.999874
SRR20748460	V11	0.999871
SRR20748449	V6	0.668469
SRR20748438	V11	0.999873
SRR20748427	V11	0.999856
SRR20748384	V11	0.99988
SRR20748373	V9	0.70906
SRR20748362	V8	0.907194
SRR20748323	V7	0.99988
SRR20748319	V11	0.547907
SRR20748318	V6	0.953388
SRR20748317	V11	0.99988
SRR20748316	V3	0.99988
SRR20748315	V10	0.99988
SRR20748314	V7	0.99988
SRR20748313	V10	0.99988
SRR20748312	V6	0.886212
SRR20748311	V6	0.624281
SRR20748308	V8	0.99988
SRR20748307	V6	0.965505
SRR20748306	V6	0.969587
SRR20748305	V10	0.99988
SRR20748304	V5	0.623625
SRR20748303	V10	0.99988
SRR20748302	V10	0.99988
SRR20748301	V6	0.716711
SRR20748300	V11	0.925976
SRR20748299	V11	0.845302
SRR20748297	V5	0.670097
SRR20748296	V10	0.99988
SRR20748295	V10	0.99988
SRR20748294	V10	0.99987
SRR20748293	V10	0.99988
SRR20748416	V10	0.99988
SRR20748415	V10	0.99988
SRR20748414	V10	0.999871
SRR20748413	V10	0.99988
SRR20748412	V6	0.360738
SRR20748410	V10	0.99988
SRR20748409	V3	0.624395
SRR20748408	V10	0.999878
SRR20748407	V10	0.99988
SRR20748406	V9	0.99988
SRR20748405	V7	0.565771
SRR20748404	V11	0.619398
SRR20748403	V10	0.99988
SRR20748402	V3	0.99988
SRR20748401	V8	0.986326
SRR20748399	V8	0.981384
SRR20748398	V8	0.958168
SRR20748397	V5	0.45036
SRR20748396	V7	0.999871
SRR20748395	V8	0.992851
SRR20748394	V6	0.643088
SRR20748393	V11	0.747244
SRR20748392	V11	0.939293
SRR20748391	V9	0.99988
SRR20748390	V9	0.99988
SRR20748388	V9	0.99988
SRR20748387	V9	0.99988
SRR20748386	V9	0.99988
SRR20748385	V4	0.818121
SRR20748352	V9	0.99988
SRR20748351	V9	0.999878
SRR20748350	V9	0.99988
SRR20748349	V3	0.99988
SRR20748348	V4	0.808891
SRR20748347	V9	0.99988
SRR20748345	V9	0.99988
SRR20748344	V9	0.99988
SRR20748343	V3	0.99988
SRR20748342	V9	0.999871
SRR20748341	V9	0.99988
SRR20748340	V9	0.999879
SRR20748339	V11	0.99988
SRR20748462	V9	0.66372
SRR20748461	V9	0.686408
SRR20748459	V3	0.99988
SRR20748458	V8	0.99988
SRR20748457	V7	0.605679
SRR20748456	V3	0.517332
SRR20748455	V8	0.908339
SRR20748446	V10	0.544037
SRR20748444	V1	0.696845
SRR20748443	V1	0.999874
SRR20748442	V1	0.99988
SRR20748441	V1	0.99988
SRR20748440	V1	0.99988
SRR20748439	V1	0.99988
SRR20748437	V11	0.99988
SRR20748436	V6	0.99988
SRR20748435	V11	0.755108
SRR20748434	V1	0.99988
SRR20748433	V6	0.999874
SRR20748432	V6	0.999869
SRR20748431	V11	0.844853
SRR20748430	V6	0.999878
SRR20748429	V6	0.999873
SRR20748428	V11	0.99988
SRR20748426	V11	0.716193
SRR20748425	V11	0.99988
SRR20748424	V6	0.925705
SRR20748423	V6	0.99988
SRR20748422	V6	0.99988
SRR20748421	V6	0.999878
SRR20748420	V1	0.999861
SRR20748419	V1	0.99988
SRR20748418	V6	0.678146
SRR20748417	V6	0.99988
SRR20748383	V1	0.99988
SRR20748382	V6	0.759222
SRR20748381	V6	0.999872
SRR20748380	V7	0.978472
SRR20748379	V8	0.99988
SRR20748378	V5	0.355471
SRR20748377	V1	0.548805
SRR20748376	V10	0.750097
SRR20748375	V4	0.603059
SRR20748374	V6	0.99988
SRR20748372	V1	0.99988
SRR20748371	V1	0.900804
SRR20748370	V11	0.99988
SRR20748369	V1	0.99988
SRR20748368	V10	0.52996
SRR20748367	V6	0.650465
SRR20748366	V3	0.642322
SRR20748365	V9	0.579718
SRR20748364	V6	0.99988
SRR20748363	V1	0.99988
SRR20748361	V6	0.999879
SRR20748360	V10	0.494935
SRR20748359	V1	0.682691
SRR20748358	V1	0.961687
SRR20748357	V11	0.99988
SRR20748356	V11	0.867684
SRR20748355	V10	0.716934
SRR20748354	V1	0.99988
SRR20748353	V7	0.724476
SRR20748324	V9	0.638682
SRR20748322	V1	0.909297
SRR20748321	V1	0.99988
SRR20748310	V11	0.971629
SRR20748451	V11	0.602877
SRR20748450	V11	0.99988
SRR20748448	V11	0.791093
SRR20748447	V11	0.774998
SRR20748445	V11	0.864353
ERR984216	V11	0.777669
ERR984219	V11	0.76627
ERR984220	V11	0.759594
ERR205800	V12	0.99988
ERR3550120	V11	0.651299
SRR6369656	V12	0.451193
SRR7970013	V8	0.910622
SRR7970014	V6	0.89711
SRR7970015	V8	0.921218
SRR7970016	V8	0.907522
SRR7970017	V11	0.762674
SRR7970018	V6	0.585636
