sample	population	population_proportion
SRR20748484	V11	0.99989
SRR20748483	V11	0.679731
SRR20748320	V2	0.99989
SRR20748309	V7	0.815946
SRR20748298	V9	0.999883
SRR20748411	V10	0.975985
SRR20748400	V9	0.99989
SRR20748389	V9	0.99989
SRR20748346	V10	0.99989
SRR20748335	V9	0.99989
SRR20748482	V9	0.99989
SRR20748471	V11	0.99989
SRR20748460	V11	0.994577
SRR20748449	V2	0.847387
SRR20748438	V10	0.99989
SRR20748427	V10	0.903243
SRR20748384	V10	0.983882
SRR20748373	V2	0.879545
SRR20748362	V7	0.84823
SRR20748323	V2	0.988997
SRR20748319	V11	0.857542
SRR20748318	V7	0.887069
SRR20748317	V11	0.99989
SRR20748316	V10	0.726605
SRR20748315	V10	0.99989
SRR20748314	V11	0.33486
SRR20748313	V10	0.99989
SRR20748312	V7	0.715105
SRR20748311	V6	0.493947
SRR20748308	V7	0.969666
SRR20748307	V7	0.841841
SRR20748306	V7	0.86473
SRR20748305	V10	0.99989
SRR20748304	V10	0.60833
SRR20748303	V10	0.999887
SRR20748302	V10	0.99989
SRR20748301	V2	0.919866
SRR20748300	V11	0.99989
SRR20748299	V11	0.99989
SRR20748297	V10	0.690035
SRR20748296	V10	0.99989
SRR20748295	V10	0.99989
SRR20748294	V10	0.99989
SRR20748293	V10	0.999711
SRR20748416	V10	0.99989
SRR20748415	V10	0.99989
SRR20748414	V10	0.99989
SRR20748413	V10	0.99989
SRR20748412	V11	0.553261
SRR20748410	V10	0.99989
SRR20748409	V2	0.954751
SRR20748408	V10	0.999885
SRR20748407	V10	0.99989
SRR20748406	V11	0.99989
SRR20748405	V2	0.473496
SRR20748404	V7	0.87359
SRR20748403	V10	0.99989
SRR20748402	V10	0.800527
SRR20748401	V7	0.95281
SRR20748399	V7	0.92455
SRR20748398	V7	0.92824
SRR20748397	V2	0.912008
SRR20748396	V2	0.99989
SRR20748395	V7	0.949876
SRR20748394	V2	0.649111
SRR20748393	V11	0.99989
SRR20748392	V11	0.994868
SRR20748391	V11	0.99989
SRR20748390	V11	0.99989
SRR20748388	V11	0.999886
SRR20748387	V11	0.99989
SRR20748386	V11	0.99989
SRR20748385	V9	0.832972
SRR20748352	V11	0.999883
SRR20748351	V11	0.99989
SRR20748350	V11	0.99989
SRR20748349	V10	0.580524
SRR20748348	V9	0.824574
SRR20748347	V11	0.99989
SRR20748345	V11	0.99989
SRR20748344	V11	0.99989
SRR20748343	V10	0.72636
SRR20748342	V11	0.99989
SRR20748341	V11	0.99989
SRR20748340	V11	0.99989
SRR20748339	V11	0.99989
SRR20748462	V2	0.901017
SRR20748461	V2	0.99989
SRR20748459	V7	0.629382
SRR20748458	V1	0.514248
SRR20748457	V6	0.577801
SRR20748456	V7	0.99989
SRR20748455	V7	0.954467
SRR20748446	V11	0.528723
SRR20748444	V10	0.79653
SRR20748443	V10	0.99989
SRR20748442	V10	0.99989
SRR20748441	V10	0.99989
SRR20748440	V10	0.99989
SRR20748439	V10	0.99989
SRR20748437	V11	0.869555
SRR20748436	V7	0.99989
SRR20748435	V7	0.763427
SRR20748434	V10	0.99989
SRR20748433	V7	0.999875
SRR20748432	V7	0.99989
SRR20748431	V7	0.749295
SRR20748430	V7	0.99989
SRR20748429	V7	0.990626
SRR20748428	V11	0.863703
SRR20748426	V11	0.865477
SRR20748425	V11	0.99989
SRR20748424	V7	0.862975
SRR20748423	V7	0.99989
SRR20748422	V7	0.99989
SRR20748421	V7	0.99989
SRR20748420	V10	0.99989
SRR20748419	V10	0.99989
SRR20748418	V7	0.807325
SRR20748417	V7	0.99989
SRR20748383	V10	0.99989
SRR20748382	V11	0.553203
SRR20748381	V7	0.99989
SRR20748380	V2	0.99989
SRR20748379	V7	0.99989
SRR20748378	V10	0.779947
SRR20748377	V10	0.428567
SRR20748376	V7	0.52723
SRR20748375	V7	0.568722
SRR20748374	V7	0.99989
SRR20748372	V10	0.564001
SRR20748371	V10	0.977756
SRR20748370	V11	0.999884
SRR20748369	V11	0.691474
SRR20748368	V2	0.696058
SRR20748367	V11	0.514933
SRR20748366	V11	0.928515
SRR20748365	V10	0.98396
SRR20748364	V7	0.99989
SRR20748363	V10	0.99989
SRR20748361	V7	0.850647
SRR20748360	V11	0.995907
SRR20748359	V7	0.778329
SRR20748358	V10	0.963042
SRR20748357	V11	0.99989
SRR20748356	V11	0.99989
SRR20748355	V7	0.841842
SRR20748354	V10	0.999888
SRR20748353	V7	0.691269
SRR20748324	V10	0.68659
SRR20748322	V10	0.911365
SRR20748321	V10	0.99989
SRR20748310	V11	0.99989
SRR20748451	V11	0.99989
SRR20748450	V11	0.99989
SRR20748448	V11	0.868895
SRR20748447	V11	0.912688
SRR20748445	V11	0.939531
SRR20748463	V3	0.99989
SRR20748453	V3	0.99989
SRR20748464	V3	0.726356
SRR20748472	V3	0.99989
SRR20748470	V3	0.99989
SRR20748469	V3	0.99989
SRR20748480	V1	0.99989
SRR20748338	V1	0.682926
SRR20748478	V1	0.697035
SRR20748452	V1	0.999885
SRR20748467	V1	0.999889
SRR20748325	V1	0.480543
SRR20748468	V5	0.99989
SRR20748474	V8	0.556159
SRR20748333	V3	0.645611
SRR20748332	V3	0.633983
SRR20748326	V3	0.623133
SRR20748481	V8	0.965318
SRR20748334	V8	0.560437
SRR20748329	V7	0.406832
SRR20748465	V1	0.999889
SRR20748336	V1	0.99989
SRR20748337	V1	0.99989
SRR20748477	V5	0.99989
SRR20748475	V1	0.888654
SRR20748331	V8	0.99989
SRR20748479	V8	0.99989
ERR984216	V11	0.825841
ERR984219	V11	0.785798
ERR984220	V11	0.782663
ERR205776	V9	0.715654
ERR205800	V4	0.511759
ERR3550120	V10	0.749175
