sample	population	population_label
SRR20748484	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748320	V2	Brazil Minor Population Cluster
SRR20748298	V9	Brazil Minor Mixed Admixture Cluster
SRR20748411	V10	Brazil Major Population Cluster C
SRR20748400	V9	Brazil Minor Mixed Admixture Cluster
SRR20748389	V9	Brazil Minor Mixed Admixture Cluster
SRR20748346	V10	Brazil Major Population Cluster C
SRR20748335	V9	Brazil Minor Mixed Admixture Cluster
SRR20748482	V9	Brazil Minor Mixed Admixture Cluster
SRR20748471	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748460	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748438	V10	Brazil Major Population Cluster C
SRR20748427	V10	Brazil Major Population Cluster C
SRR20748384	V10	Brazil Major Population Cluster C
SRR20748323	V2	Brazil Minor Population Cluster
SRR20748317	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748315	V10	Brazil Major Population Cluster C
SRR20748313	V10	Brazil Major Population Cluster C
SRR20748308	V7	Brazil Major Population Cluster B
SRR20748305	V10	Brazil Major Population Cluster C
SRR20748303	V10	Brazil Major Population Cluster C
SRR20748302	V10	Brazil Major Population Cluster C
SRR20748301	V2	Brazil Minor Population Cluster
SRR20748300	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748299	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748296	V10	Brazil Major Population Cluster C
SRR20748295	V10	Brazil Major Population Cluster C
SRR20748294	V10	Brazil Major Population Cluster C
SRR20748293	V10	Brazil Major Population Cluster C
SRR20748416	V10	Brazil Major Population Cluster C
SRR20748415	V10	Brazil Major Population Cluster C
SRR20748414	V10	Brazil Major Population Cluster C
SRR20748413	V10	Brazil Major Population Cluster C
SRR20748410	V10	Brazil Major Population Cluster C
SRR20748409	V2	Brazil Minor Population Cluster
SRR20748408	V10	Brazil Major Population Cluster C
SRR20748407	V10	Brazil Major Population Cluster C
SRR20748406	V11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748403	V10	Brazil Major Population Cluster C
SRR20748401	V7	Brazil Major Population Cluster B
SRR20748399	V7	Brazil Major Population Cluster B
SRR20748398	V7	Brazil Major Population Cluster B
SRR20748397	V2	Brazil Minor Population Cluster
SRR20748396	V2	Brazil Minor Population Cluster
