sample	population	population_label
SRR20748484	11	Brazil-Paraguay-Uruguay Cluster
SRR20748309	6	Brazil Northeast-Central (Multi-state)
SRR20748298	4	Brazil Central-West A
SRR20748411	11	Brazil-Paraguay-Uruguay Cluster
SRR20748400	4	Brazil Central-West A
SRR20748389	4	Brazil Central-West A
SRR20748335	4	Brazil Central-West A
SRR20748482	4	Brazil Central-West A
SRR20748471	11	Brazil-Paraguay-Uruguay Cluster
SRR20748460	11	Brazil-Paraguay-Uruguay Cluster
SRR20748438	11	Brazil-Paraguay-Uruguay Cluster
SRR20748427	11	Brazil-Paraguay-Uruguay Cluster
SRR20748384	11	Brazil-Paraguay-Uruguay Cluster
SRR20748362	8	Brazil North-Northeast (Maranhão, Pará, Piauí)
SRR20748323	7	Brazil Northeast B
SRR20748318	6	Brazil Northeast-Central (Multi-state)
SRR20748317	11	Brazil-Paraguay-Uruguay Cluster
SRR20748316	3	Brazil Mixed Central-South (Multi-state)
SRR20748315	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748314	7	Brazil Northeast B
SRR20748313	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748308	8	Brazil North-Northeast (Maranhão, Pará, Piauí)
SRR20748307	6	Brazil Northeast-Central (Multi-state)
SRR20748306	6	Brazil Northeast-Central (Multi-state)
SRR20748305	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748303	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748302	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748300	11	Brazil-Paraguay-Uruguay Cluster
SRR20748296	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748295	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748294	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
SRR20748293	10	Brazil Mixed (Mato Grosso, Rio Grande do Norte, São Paulo)
