sample	population	population_label
SRR20748484	1	Brazil, Honduras & Colombia Major Cluster
SRR20748320	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748298	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR20748400	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR20748389	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR20748346	10	Brazil-Paraguay Major Cluster
SRR20748335	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR20748482	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR20748460	1	Brazil, Honduras & Colombia Major Cluster
SRR20748362	12	Brazil, Honduras & Panama Major Cluster 2
SRR20748323	10	Brazil-Paraguay Major Cluster
SRR20748319	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748318	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748317	1	Brazil, Honduras & Colombia Major Cluster
SRR20748316	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748315	10	Brazil-Paraguay Major Cluster
SRR20748313	10	Brazil-Paraguay Major Cluster
SRR20748308	12	Brazil, Honduras & Panama Major Cluster 2
SRR20748307	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748306	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748305	10	Brazil-Paraguay Major Cluster
SRR20748303	10	Brazil-Paraguay Major Cluster
SRR20748302	10	Brazil-Paraguay Major Cluster
SRR20748300	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748299	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748296	10	Brazil-Paraguay Major Cluster
SRR20748295	10	Brazil-Paraguay Major Cluster
SRR20748294	10	Brazil-Paraguay Major Cluster
SRR20748293	10	Brazil-Paraguay Major Cluster
SRR20748416	10	Brazil-Paraguay Major Cluster
SRR20748415	10	Brazil-Paraguay Major Cluster
SRR20748414	10	Brazil-Paraguay Major Cluster
SRR20748413	10	Brazil-Paraguay Major Cluster
SRR20748412	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
