sample	population	population_proportion
SRR20748484	V1	0.925863
SRR20748483	V11	0.607092
SRR20748320	V6	0.99988
SRR20748309	V11	0.515253
SRR20748298	V5	0.99988
SRR20748411	V11	0.877245
SRR20748400	V5	0.999876
SRR20748389	V5	0.99988
SRR20748346	V10	0.99988
SRR20748335	V5	0.99988
SRR20748482	V5	0.99988
SRR20748471	V1	0.893463
SRR20748460	V1	0.99988
SRR20748449	V11	0.768352
SRR20748438	V6	0.85196
SRR20748427	V6	0.741042
SRR20748384	V6	0.786793
SRR20748373	V10	0.584923
SRR20748362	V12	0.940243
SRR20748323	V10	0.989483
SRR20748319	V11	0.920988
SRR20748318	V6	0.947339
SRR20748317	V1	0.908552
SRR20748316	V6	0.99988
SRR20748315	V10	0.99988
SRR20748314	V11	0.594859
SRR20748313	V10	0.99988
SRR20748312	V6	0.874572
SRR20748311	V10	0.470105
SRR20748308	V12	0.99988
SRR20748307	V6	0.96962
SRR20748306	V6	0.938679
SRR20748305	V10	0.99988
SRR20748304	V9	0.628732
SRR20748303	V10	0.99988
SRR20748302	V10	0.99988
SRR20748301	V11	0.764224
SRR20748300	V11	0.99988
SRR20748299	V11	0.99988
SRR20748297	V9	0.658021
SRR20748296	V10	0.99988
SRR20748295	V10	0.99988
SRR20748294	V10	0.99988
SRR20748293	V10	0.99988
SRR20748416	V10	0.99988
SRR20748415	V10	0.999875
SRR20748414	V10	0.99988
SRR20748413	V10	0.99988
SRR20748412	V11	0.931784
SRR20748410	V10	0.99988
SRR20748409	V10	0.620355
SRR20748408	V10	0.99988
SRR20748407	V10	0.999874
SRR20748406	V11	0.99988
SRR20748405	V10	0.573357
SRR20748404	V11	0.666896
SRR20748403	V10	0.99988
SRR20748402	V6	0.99988
SRR20748401	V12	0.99988
SRR20748399	V12	0.99988
SRR20748398	V12	0.97639
SRR20748397	V10	0.452211
SRR20748396	V10	0.965037
SRR20748395	V12	0.99988
SRR20748394	V6	0.613373
SRR20748393	V11	0.99988
SRR20748392	V11	0.99988
SRR20748391	V11	0.99988
SRR20748390	V11	0.99988
SRR20748388	V11	0.99988
SRR20748387	V11	0.99988
SRR20748386	V11	0.99988
SRR20748385	V5	0.813481
SRR20748352	V11	0.99988
SRR20748351	V11	0.99988
SRR20748350	V11	0.99988
SRR20748349	V6	0.99988
SRR20748348	V5	0.806961
SRR20748347	V11	0.99988
SRR20748345	V11	0.99988
SRR20748344	V11	0.99988
SRR20748343	V6	0.99988
SRR20748342	V11	0.99988
SRR20748341	V11	0.99988
SRR20748340	V11	0.99988
SRR20748339	V1	0.772006
SRR20748462	V9	0.454683
SRR20748461	V9	0.499735
SRR20748459	V6	0.99988
SRR20748458	V12	0.641572
SRR20748457	V1	0.537189
SRR20748456	V12	0.578796
SRR20748455	V12	0.960439
SRR20748446	V1	0.536858
SRR20748444	V6	0.823442
SRR20748443	V1	0.99988
SRR20748442	V1	0.99988
SRR20748441	V1	0.99988
SRR20748440	V1	0.99988
SRR20748439	V1	0.99988
SRR20748437	V1	0.99988
SRR20748436	V6	0.99988
SRR20748435	V6	0.979939
SRR20748434	V1	0.99988
SRR20748433	V6	0.99988
SRR20748432	V6	0.99988
SRR20748431	V6	0.99988
SRR20748430	V6	0.99988
SRR20748429	V6	0.99988
SRR20748428	V1	0.99988
SRR20748426	V11	0.873938
SRR20748425	V1	0.99988
SRR20748424	V6	0.99988
SRR20748423	V6	0.99988
SRR20748422	V6	0.999876
SRR20748421	V6	0.99988
SRR20748420	V1	0.99988
SRR20748419	V1	0.99988
SRR20748418	V6	0.682425
SRR20748417	V6	0.99988
SRR20748383	V1	0.99988
SRR20748382	V6	0.64989
SRR20748381	V10	0.596916
SRR20748380	V10	0.962031
SRR20748379	V12	0.99988
SRR20748378	V6	0.832884
SRR20748377	V1	0.527258
SRR20748376	V11	0.87407
SRR20748375	V5	0.589189
SRR20748374	V6	0.99988
SRR20748372	V1	0.99988
SRR20748371	V6	0.754208
SRR20748370	V1	0.99988
SRR20748369	V1	0.999873
SRR20748368	V10	0.622343
SRR20748367	V6	0.99988
SRR20748366	V1	0.945727
SRR20748365	V1	0.99988
SRR20748364	V6	0.999875
SRR20748363	V1	0.99988
SRR20748361	V6	0.427501
SRR20748360	V10	0.573281
SRR20748359	V1	0.76634
SRR20748358	V1	0.954753
SRR20748357	V1	0.99988
SRR20748356	V11	0.632193
SRR20748355	V6	0.99988
SRR20748354	V1	0.99988
SRR20748353	V1	0.99988
SRR20748324	V1	0.999871
SRR20748322	V1	0.949754
SRR20748321	V1	0.99988
SRR20748310	V11	0.99988
SRR20748451	V11	0.99988
SRR20748450	V11	0.99988
SRR20748448	V11	0.905701
SRR20748447	V11	0.984408
SRR20748445	V11	0.99988
SRR20748463	V13	0.999874
SRR20748453	V13	0.99988
SRR20748464	V13	0.703733
SRR20748472	V13	0.99988
SRR20748470	V13	0.99988
SRR20748469	V13	0.99986
SRR20748480	V3	0.99988
SRR20748338	V4	0.522635
SRR20748478	V4	0.512507
SRR20748452	V3	0.99988
SRR20748467	V6	0.474877
SRR20748325	V5	0.587475
SRR20748468	V7	0.99988
SRR20748474	V3	0.804345
SRR20748333	V13	0.632527
SRR20748332	V13	0.615771
SRR20748326	V13	0.599634
SRR20748481	V8	0.734411
SRR20748334	V3	0.78015
SRR20748329	V4	0.532985
SRR20748465	V3	0.99988
SRR20748336	V3	0.771724
SRR20748337	V3	0.99988
SRR20748477	V7	0.99988
SRR20748475	V3	0.924899
SRR20748331	V3	0.999874
SRR20748479	V3	0.999873
ERR984216	V11	0.841754
ERR984219	V11	0.819053
ERR984220	V11	0.806797
ERR205776	V5	0.689162
ERR205800	V4	0.554816
ERR3550120	V6	0.539082
SRR6369656	V11	0.670966
SRR7970013	V12	0.996732
SRR7970014	V12	0.47887
SRR7970015	V12	0.99988
SRR7970016	V12	0.967383
SRR7970017	V6	0.881597
SRR7970018	V6	0.71892
SRR7970019	V12	0.670844
SRR7970020	V6	0.896212
SRR7970021	V6	0.980355
SRR7970022	V6	0.609731
SRR7970023	V11	0.699876
SRR7970024	V1	0.99988
SRR7970025	V6	0.537515
SRR7970026	V1	0.99988
SRR7970027	V6	0.581556
SRR7970028	V10	0.934185
SRR7970029	V6	0.97997
SRR7970030	V10	0.971873
SRR7970031	V12	0.99988
SRR7970032	V12	0.605715
SRR7970033	V2	0.533881
SRR7970034	V12	0.953417
SRR7970035	V12	0.605218
SRR7970036	V12	0.909021
SRR7970037	V12	0.834862
SRR7970038	V10	0.611359
SRR8842312	V9	0.673985
SRR10478767	V2	0.99988
SRR10478768	V6	0.578569
SRR10478769	V2	0.749224
SRR10478770	V10	0.469731
SRR10478771	V2	0.99988
SRR10478772	V2	0.99988
SRR10478773	V2	0.942817
SRR10478774	V2	0.99988
SRR10478775	V2	0.97394
SRR10478776	V2	0.897128
SRR10478777	V2	0.99988
SRR10478778	V2	0.942531
SRR10478779	V2	0.99988
SRR10478780	V2	0.535737
SRR10478781	V2	0.99988
SRR10478782	V2	0.99988
SRR10478783	V2	0.99988
SRR10478784	V2	0.99988
SRR10478786	V2	0.99988
SRR10478787	V2	0.99988
SRR10478788	V2	0.667457
SRR10478789	V2	0.99988
SRR10478790	V2	0.99988
SRR10478792	V2	0.99988
SRR10478793	V2	0.99988
SRR10478795	V2	0.99988
SRR10478796	V2	0.99988
SRR12506670	V9	0.99988
SRR12506671	V11	0.964987
SRR12506672	V11	0.995073
SRR12506673	V11	0.999876
SRR12506674	V9	0.828009
SRR12506677	V12	0.99988
SRR12506678	V9	0.99988
SRR12506679	V5	0.99988
SRR12506680	V5	0.99988
SRR12506681	V5	0.99988
SRR12506682	V5	0.70732
SRR12506683	V1	0.668241
SRR12506684	V5	0.99988
SRR12506685	V5	0.999879
SRR12506686	V5	0.99988
SRR12506687	V5	0.657237
SRR12506688	V5	0.999877
SRR12506689	V5	0.99988
SRR12506690	V12	0.693248
SRR12506691	V2	0.597406
SRR12506692	V9	0.99988
SRR12506693	V9	0.99988
SRR12506694	V1	0.954141
SRR12506695	V9	0.99988
SRR12506696	V9	0.99988
SRR12506697	V6	0.847144
SRR12506698	V11	0.99988
SRR12506699	V11	0.990328
SRR12506700	V6	0.567858
SRR12506701	V10	0.99987
SRR12506702	V1	0.503151
SRR12506703	V10	0.99988
SRR12506705	V1	0.99988
SRR12506706	V10	0.99988
SRR12506707	V10	0.99988
SRR12506708	V10	0.99988
SRR12506709	V10	0.99988
SRR12506710	V10	0.99988
SRR12506711	V10	0.99988
SRR12506712	V11	0.703401
SRR12506713	V11	0.672061
SRR12506714	V11	0.58708
SRR12506715	V9	0.461149
SRR12506716	V1	0.990913
SRR12506718	V9	0.99988
SRR12506719	V9	0.996297
SRR12506720	V9	0.99988
SRR12506721	V9	0.974593
SRR12506722	V9	0.926058
SRR12506723	V9	0.964146
SRR12506724	V9	0.99988
SRR12506725	V11	0.56213900000000006
SRR12506726	V9	0.99988
SRR12506727	V11	0.894527
SRR12506728	V6	0.966133
SRR13744648	V2	0.99988
SRR13744637	V2	0.97394
SRR13744626	V2	0.99988
SRR13744615	V2	0.942817
SRR13744604	V2	0.99988
SRR13744593	V2	0.99988
SRR13744680	V10	0.469731
SRR13744679	V2	0.99988
SRR13744678	V2	0.99988
SRR13744677	V2	0.99988
SRR13744676	V2	0.99988
SRR13744675	V2	0.99988
SRR13744674	V2	0.963449
SRR13744673	V2	0.99988
SRR13744672	V2	0.99988
SRR13744671	V2	0.99988
SRR13744669	V2	0.937754
SRR13744668	V2	0.99988
SRR13744667	V2	0.99988
SRR13744666	V2	0.99988
SRR13744665	V2	0.99988
SRR13744664	V2	0.535737
SRR13744663	V2	0.99988
SRR13744662	V2	0.942527
SRR13744661	V2	0.99988
SRR13744660	V2	0.99988
SRR13744658	V2	0.761967
SRR13744657	V2	0.99988
SRR13744656	V2	0.99988
SRR13744655	V2	0.580781
SRR13744654	V2	0.87356
SRR13744653	V2	0.99988
SRR13744652	V2	0.99988
SRR13744651	V2	0.973362
SRR13744650	V2	0.949755
SRR13744649	V2	0.892794
SRR13744647	V2	0.99988
SRR13744646	V2	0.987138
SRR13744645	V2	0.969906
SRR13744644	V2	0.858132
SRR13744643	V2	0.99988
SRR13744642	V2	0.999874
SRR13744641	V2	0.843992
SRR13744682	V10	0.910205
SRR13744681	V12	0.99988
SRR13744670	V12	0.519312
SRR13744659	V12	0.417312
SRR13744640	V12	0.717567
SRR13744639	V12	0.834125
SRR13744638	V12	0.99988
SRR13744636	V12	0.99988
SRR13744635	V12	0.99988
SRR13744634	V12	0.99988
SRR13744633	V12	0.993262
SRR13744632	V12	0.999872
SRR13744631	V10	0.893164
SRR13744630	V12	0.99988
SRR13744629	V12	0.999877
SRR13744628	V10	0.933947
SRR13744627	V1	0.543705
SRR13744625	V10	0.99988
SRR13744624	V6	0.999876
SRR13744623	V10	0.874251
SRR13744621	V6	0.846439
SRR13744620	V6	0.902367
SRR13744619	V6	0.99988
SRR13744618	V10	0.929712
SRR13744617	V12	0.99988
SRR13744614	V11	0.511012
SRR13744613	V2	0.362662
SRR13744612	V12	0.99988
SRR13744611	V12	0.593513
SRR13744610	V12	0.99988
SRR13744609	V10	0.743654
SRR13744608	V12	0.99988
SRR13744607	V12	0.99988
SRR13744606	V12	0.999871
SRR13744605	V12	0.99988
SRR13744603	V6	0.99988
SRR13744602	V10	0.682973
SRR13744601	V11	0.513961
SRR13744600	V12	0.985634
SRR13744599	V12	0.99988
SRR13744598	V12	0.908098
SRR13744597	V12	0.962666
SRR13744596	V12	0.997913
SRR13744595	V12	0.846059
SRR13744594	V1	0.724101
SRR13744592	V12	0.933545
SRR13744591	V12	0.951625
SRR13744590	V12	0.856365
SRR16972343	V12	0.99988
SRR16972342	V12	0.633973
SRR16972341	V6	0.854233
SRR16972340	V12	0.791645
SRR16972339	V12	0.960641
SRR16972338	V12	0.99988
SRR16972337	V12	0.97377
SRR16972335	V12	0.720836
SRR16972311	V12	0.771686
SRR16972312	V1	0.524508
SRR16972313	V6	0.99988
SRR16972314	V12	0.99988
SRR16972315	V12	0.886298
SRR16972316	V12	0.952763
SRR16972317	V6	0.792922
SRR16972318	V12	0.871877
SRR16972319	V12	0.960467
SRR16972320	V2	0.546355
SRR16972321	V12	0.99988
SRR16972322	V12	0.99988
SRR16972323	V12	0.819805
SRR16972324	V6	0.686792
ERR205763	V4	0.523719
ERR205788	V4	0.520026
SRR8608748	V7	0.999879
ERR205787	V7	0.99988
ERR205736	V13	0.860506
ERR205750	V13	0.99988
ERR205751	V13	0.999871
ERR205735	V7	0.999874
ERR205737	V4	0.99988
ERR205760	V4	0.99988
ERR205793	V4	0.99988
ERR205795	V4	0.999875
ERR3550144	V7	0.99988
ERR205768	V8	0.431787
ERR205770	V4	0.779776
ERR205771	V4	0.914129
ERR205786	V4	0.90863
ERR205799	V4	0.999877
ERR205738	V4	0.974424
ERR271200	V4	0.99988
ERR013294	V9	0.77455
ERR230187	V4	0.88507
ERR230188	V4	0.909839
ERR3550118	V7	0.99988
ERR3550132	V7	0.99988
SRR6369628	V4	0.894057
SRR6369636	V4	0.632734
SRR12506675	V4	0.63275
SRR12506676	V4	0.680599
ERR205759	V8	0.459659
ERR205785	V8	0.999879
ERR230189	V8	0.99988
ERR230190	V8	0.99988
ERR230193	V8	0.99988
ERR230194	V4	0.858706
ERR304752	V8	0.99988
ERR304753	V13	0.99988
ERR3550152	V8	0.99988
ERR205739	V8	0.99988
ERR205797	V8	0.99988
ERR3550134	V7	0.549078
ERR524883	V4	0.655693
ERR3550142	V3	0.99988
SRR6369631	V4	0.999872
SRR11098642	V3	0.99988
SRR11098643	V3	0.99988
SRR11098644	V3	0.99988
SRR11098645	V3	0.971294
SRR11098646	V3	0.99988
